tag,name,region,capital,controlled_locations,seeded_locations,placements,productive_placements,civic_service_placements,max_location_placements,source,confidence,note
VLF,Lower Kama Pyanobor Culture,Finland,bolghar,51,7,8,8,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
VLT,Volta Basin Communities,West Africa,boussouma,42,6,7,7,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
VNG,Vanga,India,nadia,20,4,9,5,4,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
VNI,Vennicnii,Ireland,donegal,4,2,5,4,1,4,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
VOT,Votadini,Britain,dunbar,9,3,6,5,1,4,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
VRN,Varini,Germania,schwerin,15,4,5,5,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
VYG,Pidzh Culture,Finland,yarensk,27,5,6,6,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
VYP,Vyatka Pyanobor Horizon,Finland,vyatka,33,6,7,7,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
WAA,Wa Polities,Japan,nara,9,3,4,4,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
WAF,Kebbi River Communities,West Africa,birnin_kebbi,7,3,4,4,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
WBB,West Balt Barrow Culture,Baltic,barten,15,4,5,5,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
WBC,Western Borneo Coastal Networks,Southeast Asia,sambas,12,3,4,4,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
WCR,Yap-Ulithi Island Communities,Oceania,yap,2,2,4,3,1,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
WDP,Wadai Plateau Communities,Africa,ouara,5,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
WGD,Western Sahel Communities,West Africa,aoudaghost,22,5,6,6,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
WHT,Late Kargopol Culture,Finland,kargopol,29,5,6,6,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
WHU,Wuhuan,Steppe,yizhou_jinzhou,33,6,9,7,2,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
WIC,Windward Island Ceramic Communities,Caribbean-Amazon,carucairi,1,1,3,2,1,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
WJO,Northern Okjeo Corridor,Steppe,yenji,11,3,4,4,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
WNK,Wankarani Communities,Andes,oruro,8,3,7,4,3,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
WSC,West Lithuanian Stone-Circle Culture,Baltic,medininkai,27,5,6,6,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
WSN,Wusun,Central Asia,gulja,81,9,10,10,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
XIA,Xianbei,Steppe,dalai_nur_lake,66,8,9,9,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
XIO,Xiongnu Confederation,Steppe,qingzhou_mongol,150,12,16,13,3,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
YAR,Bangga-Yarlung Horizon,Central Asia,nedong,6,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
YDH,Yaudheya,India,rohtak,27,5,11,6,5,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
YIL,Ussuri-Sanjiang Yilou Horizon,Steppe,hulin,16,4,5,5,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
YNC,Yancai,Central Asia,emba,34,6,7,7,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
YQI,Yanqi,Tarim,karasahr,7,3,6,4,2,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
YUE,Yuezhi Confederation,Central Asia,balkh,68,8,9,9,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
YUN,Eastern Yunga Valley Networks,Andes,incarraqay,6,2,5,3,2,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
ZAP,Monte Alban,Mesoamerica,sosola,33,7,10,8,2,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
ZBG,Zamboanga Peninsula Communities,Southeast Asia,samboangan,6,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
ZHF,Zambezi Hunter-Herder Networks,Africa,mtoko,16,8,12,5,7,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
ZHZ,Zhang Zhung,Central Asia,khyunglung,38,6,7,7,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
ZMP,Zamfara Plateau Communities,West Africa,birnin_zamfara,5,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
ZRB,Zarubintsy Horizon,Eastern Europe,brest_litowsk,49,7,8,8,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
ZUM,Zumi,Germania,olesnica,5,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
